steam_id,app_id,playtime_forever
76561198977243342,513650,133
76561198977243342,528660,1
76561198977243342,550650,311
76561198977243342,550900,8
76561198977243342,444200,50
76561198977243342,559650,155
76561198977243342,567290,1
76561198977243342,583760,1
76561198977243342,616220,7
76561198977243342,304930,72
76561198977243342,466240,10
76561198977243342,480430,8
76561198977243342,747360,164
76561198977243342,757130,98
76561198977243342,766570,711
76561198977243342,346610,14
76561198977243342,905370,797
76561198977243342,730,94374
76561198977243342,999730,2
76561198977243342,1104640,33
76561198977243342,1172470,1
76561198977243342,1180380,35
76561198977243342,1243220,1
76561198977243342,1222680,576
76561198977243342,1274570,931
76561198977243342,1336560,5
76561198977243342,244210,261
76561198977243342,1404210,42
76561198977243342,1590320,11
76561198977243342,1782210,375
76561198977243342,578080,10
76561198977243342,1677740,220
76561198977243342,1938090,46
76561198991516403,10,46
76561198991516403,240,1372
76561198991516403,4000,416
76561198991516403,550,191
76561198991516403,224260,35
76561198991516403,242760,2266
76561198991516403,218620,2744
76561198991516403,227300,509
76561198991516403,271590,66376
76561198991516403,313120,960
76561198991516403,730,209635
76561198991516403,298630,28
76561198991516403,355840,69
76561198991516403,381210,555
76561198991516403,383150,637
76561198991516403,387990,4906
76561198991516403,397900,11
76561198991516403,431960,876
76561198991516403,433340,40
76561198991516403,444930,2
76561198991516403,460060,1
76561198991516403,509980,75
76561198991516403,519140,25
76561198991516403,526160,585
76561198991516403,544810,2
76561198991516403,559650,5
76561198991516403,582500,101
76561198991516403,585690,130
76561198991516403,617670,316
